winnerMovie,nominees,year,winner
Erin Brockovich,"@{name=Joan Allen; movie=The Contender},@{name=Juliette Binoche; movie=Chocolat},@{name=Ellen Burstyn; movie=Requiem for a Dream},@{name=Laura Linney; movie=You Can Count on Me}",2000,Julia Roberts
Monster's Ball,"@{name=Judi Dench; movie=Iris},@{name=Nicole Kidman; movie=Moulin Rouge!},@{name=Sissy Spacek; movie=In the Bedroom},@{name=e Zellweger; movie=Bridget Jones's Diary}",2001,Halle Berry
The Hours,"@{name=Salma Hayek; movie=Frida},@{name=Diane Lane; movie=Unfaithful},@{name=Julianne Moore; movie=Far from Heaven},@{name=e Zellweger; movie=Chicago}",2002,Nicole Kidman
Monster,"@{name=Keisha Castle-Hughes; movie=Whale Rider},@{name=Diane Keaton; movie=Something's Gotta Give},@{name=Samantha Morton; movie=In America},@{name=Naomi Watts; movie=21 Grams}",2003,Charlize Theron
Million Dollar Baby,"@{name=Annette Bening; movie=Being Julia},@{name=Sandino Moreno; movie=Maria Full of Grace},@{name=Imelda Staunton; movie=Vera Drake},@{name=Kate Winslet; movie=Eternal Sunshine of the Spotless Mind}",2004,Hilary Swank
Walk the Line,"@{name=Judi Dench; movie=Mrs Henderson Presents},@{name=Felicity Huffman; movie=Transamerica},@{name=Keira Knightley; movie=Pride & Prejudice},@{name=Charlize Theron; movie=North Country}",2005,Reese Witherspoon
The Queen,"@{name=lope Cruz; movie=Volver},@{name=Judi Dench; movie=Notes on a Scandal},@{name=Meryl Streep; movie=The Devil Wears Prada},@{name=Kate Winslet; movie=Little Children}",2006,Helen Mirren
La Vie en Rose,"@{name=Cate Blanchett; movie=Elizabeth: The Golden Age},@{name=Julie Christie; movie=Away from Her},@{name=Laura Linney; movie=The Savages},@{name=Ellen Page; movie=Juno}",2007,Marion Cotillard
The Reader,"@{name=Anne Hathaway; movie=Rachel Getting Married},@{name=Angelina Jolie; movie=Changeling},@{name=Melissa Leo; movie=Frozen River},@{name=Meryl Streep; movie=Doubt}",2008,Kate Winslet
The Blind Side,"@{name=Helen Mirren; movie=The Last Station},@{name=Carey Mulligan; movie=An Education},@{name=Gabourey Sidibe; movie=Precious},@{name=Meryl Streep; movie=Julie & Julia}",2009,Sandra Bullock
Black Swan,"@{name=Annette Bening; movie=The Kids Are All Right},@{name=Nicole Kidman; movie=Rabbit Hole},@{name=Jennifer Lawrence; movie=Winter's Bone},@{name=Michelle Williams; movie=Blue Valentine}",2010,Natalie Portman
The Iron Lady,"@{name=Glenn Close; movie=Albert Nobbs},@{name=Viola Davis; movie=The Help},@{name=Rooney Mara; movie=The Girl with the Dragon Tattoo},@{name=Michelle Williams; movie=My Week with Marilyn}",2011,Meryl Streep
Silver Linings Playbook,"@{name=Jessica Chastain; movie=Zero Dark Thirty},@{name=Emmanuelle Riva; movie=Amour},@{name=Beasts of; movie=Beasts of the Southern Wild},@{name=Naomi Watts; movie=The Impossible}",2012,Jennifer Lawrence
Blue Jasmine,"@{name=Amy Adams; movie=American Hustle},@{name=Sandra Bullock; movie=Gravity},@{name=Judi Dench; movie=Philomena},@{name=Meryl Streep; movie=August: Osage County}",2013,Cate Blanchett
Still Alice,"@{name=Marion Cotillard; movie=Two Days, One Night},@{name=Felicity Jones; movie=The Theory of Everything},@{name=Rosamund Pike; movie=Gone Girl}",2014,Julianne Moore
